latitude,longitude,frp,brightness_k,confidence,nearest_facility,distance_km,classification,severity
27.80422,96.25511,5.56,335.35,n,None,1154.2,Agricultural / Stubble Burning,MODERATE
28.04317,96.47542,4.29,330.4,n,None,1185.51,Agricultural / Stubble Burning,MODERATE
6.23675,80.86526,4.12,334.31,n,None,1663.65,Agricultural / Stubble Burning,MODERATE
6.33034,80.99194,4.99,351.23,n,None,1652.85,Agricultural / Stubble Burning,MODERATE
6.35857,80.94335,3.97,340.79,n,None,1649.85,Agricultural / Stubble Burning,MODERATE
6.42279,81.28326,9.28,336.83,n,None,1642.07,Agricultural / Stubble Burning,MODERATE
6.53911,80.9467,2.0,331.79,n,None,1629.77,Agricultural / Stubble Burning,MODERATE
6.67181,81.1211,6.5,330.05,n,None,1614.59,Agricultural / Stubble Burning,MODERATE
6.70483,81.3157,17.86,344.06,n,None,1610.69,Agricultural / Stubble Burning,MODERATE
6.70966,81.31493,9.5,350.75,n,None,1610.16,Agricultural / Stubble Burning,MODERATE
6.71541,81.3196,9.5,332.8,n,None,1609.51,Agricultural / Stubble Burning,MODERATE
6.74071,81.49876,9.91,344.26,n,None,1606.74,Agricultural / Stubble Burning,MODERATE
6.75242,81.36433,8.71,343.11,n,None,1605.39,Agricultural / Stubble Burning,MODERATE
6.75315,81.36772,15.74,345.31,n,None,1605.31,Agricultural / Stubble Burning,MODERATE
6.75334,81.36961,8.71,339.08,n,None,1605.28,Agricultural / Stubble Burning,MODERATE
6.76568,81.38377,3.62,330.37,l,None,1603.91,Agricultural / Stubble Burning,MODERATE
6.78033,81.56044,4.9,333.59,l,None,1602.4,Agricultural / Stubble Burning,MODERATE
6.78106,81.55669,4.65,336.12,n,None,1602.31,Agricultural / Stubble Burning,MODERATE
6.8919,81.63732,6.6,341.36,n,None,1590.12,Agricultural / Stubble Burning,MODERATE
6.89411,81.63881,3.22,341.13,n,None,1589.87,Agricultural / Stubble Burning,MODERATE
6.95228,81.63975,6.6,341.12,n,None,1583.41,Agricultural / Stubble Burning,MODERATE
7.04393,81.3398,9.34,339.54,n,None,1572.98,Agricultural / Stubble Burning,MODERATE
7.06148,81.55836,3.81,339.75,n,None,1571.14,Agricultural / Stubble Burning,MODERATE
7.29534,80.90753,9.43,332.06,n,None,1545.85,Agricultural / Stubble Burning,MODERATE
7.34159,81.73363,5.02,332.62,l,None,1540.34,Agricultural / Stubble Burning,MODERATE
7.36861,81.83842,2.84,333.38,n,None,1537.66,Agricultural / Stubble Burning,MODERATE
7.4696,81.26337,9.11,341.38,n,None,1525.69,Agricultural / Stubble Burning,MODERATE
7.46992,81.26645,9.36,341.78,n,None,1525.65,Agricultural / Stubble Burning,MODERATE
7.50373,81.0055,20.32,343.1,n,None,1522.38,Agricultural / Stubble Burning,MODERATE
7.58117,81.05603,7.49,346.56,n,None,1513.63,Agricultural / Stubble Burning,MODERATE
7.58505,81.0498,7.49,333.23,n,None,1513.22,Agricultural / Stubble Burning,MODERATE
7.58989,81.04897,12.93,342.75,n,None,1512.68,Agricultural / Stubble Burning,MODERATE
