latitude,longitude,classification,severity,frp,brightness_k,nearest_facility_id,nearest_facility_name,nearest_facility_type,distance_km,industrial_relevance,risk_zone,cluster_id,cluster_size,cluster_radius_km,event_group,confidence,nearest_facility
27.80422,96.25511,Agricultural / Stubble Burning,MODERATE,5.56,335.35,FAC-005,"Tata Steel Plant, Jamshedpur",industrial,1154.199,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
28.04317,96.47542,Agricultural / Stubble Burning,MODERATE,4.29,330.4,FAC-005,"Tata Steel Plant, Jamshedpur",industrial,1185.507,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
6.23675,80.86526,Agricultural / Stubble Burning,MODERATE,4.12,334.31,FAC-007,Bhilai Steel Complex,industrial,1663.651,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
6.33034,80.99194,Agricultural / Stubble Burning,MODERATE,4.99,351.23,FAC-007,Bhilai Steel Complex,industrial,1652.849,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
6.35857,80.94335,Agricultural / Stubble Burning,MODERATE,3.97,340.79,FAC-007,Bhilai Steel Complex,industrial,1649.852,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
6.42279,81.28326,Agricultural / Stubble Burning,MODERATE,9.28,336.83,FAC-007,Bhilai Steel Complex,industrial,1642.074,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
6.53911,80.9467,Agricultural / Stubble Burning,MODERATE,2.0,331.79,FAC-007,Bhilai Steel Complex,industrial,1629.774,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
6.67181,81.1211,Agricultural / Stubble Burning,MODERATE,6.5,330.05,FAC-007,Bhilai Steel Complex,industrial,1614.592,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
6.70483,81.3157,Agricultural / Stubble Burning,MODERATE,17.86,344.06,FAC-007,Bhilai Steel Complex,industrial,1610.694,LOW,LOW,CL-0001,3,1.0,CL-0001 (3 hotspots),n,
6.70966,81.31493,Agricultural / Stubble Burning,MODERATE,9.5,350.75,FAC-007,Bhilai Steel Complex,industrial,1610.158,LOW,LOW,CL-0001,3,1.0,CL-0001 (3 hotspots),n,
6.71541,81.3196,Agricultural / Stubble Burning,MODERATE,9.5,332.8,FAC-007,Bhilai Steel Complex,industrial,1609.516,LOW,LOW,CL-0001,3,1.0,CL-0001 (3 hotspots),n,
6.74071,81.49876,Agricultural / Stubble Burning,MODERATE,9.91,344.26,FAC-007,Bhilai Steel Complex,industrial,1606.741,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
6.75242,81.36433,Agricultural / Stubble Burning,MODERATE,8.71,343.11,FAC-007,Bhilai Steel Complex,industrial,1605.389,LOW,LOW,CL-0002,3,1.0,CL-0002 (3 hotspots),n,
6.75315,81.36772,Agricultural / Stubble Burning,MODERATE,15.74,345.31,FAC-007,Bhilai Steel Complex,industrial,1605.307,LOW,LOW,CL-0002,3,1.0,CL-0002 (3 hotspots),n,
6.75334,81.36961,Agricultural / Stubble Burning,MODERATE,8.71,339.08,FAC-007,Bhilai Steel Complex,industrial,1605.286,LOW,LOW,CL-0002,3,1.0,CL-0002 (3 hotspots),n,
6.76568,81.38377,Agricultural / Stubble Burning,MODERATE,3.62,330.37,FAC-007,Bhilai Steel Complex,industrial,1603.913,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),l,
6.78033,81.56044,Agricultural / Stubble Burning,MODERATE,4.9,333.59,FAC-007,Bhilai Steel Complex,industrial,1602.402,LOW,LOW,CL-0003,2,1.0,CL-0003 (2 hotspots),l,
6.78106,81.55669,Agricultural / Stubble Burning,MODERATE,4.65,336.12,FAC-007,Bhilai Steel Complex,industrial,1602.316,LOW,LOW,CL-0003,2,1.0,CL-0003 (2 hotspots),n,
6.8919,81.63732,Agricultural / Stubble Burning,MODERATE,6.6,341.36,FAC-007,Bhilai Steel Complex,industrial,1590.119,LOW,LOW,CL-0004,2,1.0,CL-0004 (2 hotspots),n,
6.89411,81.63881,Agricultural / Stubble Burning,MODERATE,3.22,341.13,FAC-007,Bhilai Steel Complex,industrial,1589.876,LOW,LOW,CL-0004,2,1.0,CL-0004 (2 hotspots),n,
6.95228,81.63975,Agricultural / Stubble Burning,MODERATE,6.6,341.12,FAC-007,Bhilai Steel Complex,industrial,1583.411,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.04393,81.3398,Agricultural / Stubble Burning,MODERATE,9.34,339.54,FAC-007,Bhilai Steel Complex,industrial,1572.979,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.06148,81.55836,Agricultural / Stubble Burning,MODERATE,3.81,339.75,FAC-007,Bhilai Steel Complex,industrial,1571.139,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.29534,80.90753,Agricultural / Stubble Burning,MODERATE,9.43,332.06,FAC-007,Bhilai Steel Complex,industrial,1545.852,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.34159,81.73363,Agricultural / Stubble Burning,MODERATE,5.02,332.62,FAC-007,Bhilai Steel Complex,industrial,1540.344,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),l,
7.36861,81.83842,Agricultural / Stubble Burning,MODERATE,2.84,333.38,FAC-007,Bhilai Steel Complex,industrial,1537.66,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.4696,81.26337,Agricultural / Stubble Burning,MODERATE,9.11,341.38,FAC-007,Bhilai Steel Complex,industrial,1525.692,LOW,LOW,CL-0005,2,1.0,CL-0005 (2 hotspots),n,
7.46992,81.26645,Agricultural / Stubble Burning,MODERATE,9.36,341.78,FAC-007,Bhilai Steel Complex,industrial,1525.654,LOW,LOW,CL-0005,2,1.0,CL-0005 (2 hotspots),n,
7.50373,81.0055,Agricultural / Stubble Burning,MODERATE,20.32,343.1,FAC-007,Bhilai Steel Complex,industrial,1522.378,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.58117,81.05603,Agricultural / Stubble Burning,MODERATE,7.49,346.56,FAC-007,Bhilai Steel Complex,industrial,1513.635,LOW,LOW,CL-0006,7,1.0,CL-0006 (7 hotspots),n,
7.58505,81.0498,Agricultural / Stubble Burning,MODERATE,7.49,333.23,FAC-007,Bhilai Steel Complex,industrial,1513.219,LOW,LOW,CL-0006,7,1.0,CL-0006 (7 hotspots),n,
7.58989,81.04897,Agricultural / Stubble Burning,MODERATE,12.93,342.75,FAC-007,Bhilai Steel Complex,industrial,1512.683,LOW,LOW,CL-0006,7,1.0,CL-0006 (7 hotspots),n,
7.59083,81.05435,Agricultural / Stubble Burning,MODERATE,12.93,341.08,FAC-007,Bhilai Steel Complex,industrial,1512.565,LOW,LOW,CL-0006,7,1.0,CL-0006 (7 hotspots),n,
7.59472,81.04814,Agricultural / Stubble Burning,MODERATE,12.93,330.11,FAC-007,Bhilai Steel Complex,industrial,1512.148,LOW,LOW,CL-0006,7,1.0,CL-0006 (7 hotspots),l,
7.59566,81.05355,Agricultural / Stubble Burning,MODERATE,12.93,341.84,FAC-007,Bhilai Steel Complex,industrial,1512.03,LOW,LOW,CL-0006,7,1.0,CL-0006 (7 hotspots),n,
7.60043,81.70636,Agricultural / Stubble Burning,MODERATE,4.0,333.79,FAC-007,Bhilai Steel Complex,industrial,1511.5,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),l,
7.63271,81.00848,Agricultural / Stubble Burning,MODERATE,17.66,342.55,FAC-007,Bhilai Steel Complex,industrial,1508.032,LOW,LOW,CL-0007,2,1.0,CL-0007 (2 hotspots),n,
7.70216,81.24224,Agricultural / Stubble Burning,MODERATE,21.8,355.84,FAC-007,Bhilai Steel Complex,industrial,1499.854,LOW,LOW,CL-0008,2,1.0,CL-0008 (2 hotspots),n,
7.70227,81.2403,Agricultural / Stubble Burning,MODERATE,24.75,343.05,FAC-007,Bhilai Steel Complex,industrial,1499.844,LOW,LOW,CL-0008,2,1.0,CL-0008 (2 hotspots),n,
7.70587,81.54907,Agricultural / Stubble Burning,MODERATE,5.25,335.39,FAC-007,Bhilai Steel Complex,industrial,1499.479,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),l,
7.72287,80.65866,Agricultural / Stubble Burning,MODERATE,2.6,331.59,FAC-007,Bhilai Steel Complex,industrial,1499.48,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.75616,81.04324,Agricultural / Stubble Burning,MODERATE,3.9,333.1,FAC-007,Bhilai Steel Complex,industrial,1494.214,LOW,LOW,CL-0009,2,1.0,CL-0009 (2 hotspots),n,
7.75739,81.04642,Agricultural / Stubble Burning,MODERATE,3.09,333.01,FAC-007,Bhilai Steel Complex,industrial,1494.07,LOW,LOW,CL-0009,2,1.0,CL-0009 (2 hotspots),n,
7.76149,80.46893,Agricultural / Stubble Burning,MODERATE,5.2,331.17,FAC-007,Bhilai Steel Complex,industrial,1496.385,LOW,LOW,CL-0010,2,1.0,CL-0010 (2 hotspots),n,
7.76352,80.10153,Agricultural / Stubble Burning,MODERATE,2.2,330.15,FAC-007,Bhilai Steel Complex,industrial,1499.256,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.76651,80.46803,Agricultural / Stubble Burning,MODERATE,2.93,339.65,FAC-007,Bhilai Steel Complex,industrial,1495.834,LOW,LOW,CL-0010,2,1.0,CL-0010 (2 hotspots),n,
7.78214,80.61802,Agricultural / Stubble Burning,MODERATE,8.07,340.18,FAC-007,Bhilai Steel Complex,industrial,1493.131,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.86162,80.01357,Agricultural / Stubble Burning,MODERATE,6.27,335.91,FAC-007,Bhilai Steel Complex,industrial,1489.291,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.86603,80.21651,Agricultural / Stubble Burning,MODERATE,1.27,336.47,FAC-007,Bhilai Steel Complex,industrial,1486.815,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.89261,80.00832,Agricultural / Stubble Burning,MODERATE,13.53,336.03,FAC-007,Bhilai Steel Complex,industrial,1485.917,LOW,LOW,CL-0011,2,1.0,CL-0011 (2 hotspots),n,
7.89316,80.01147,Agricultural / Stubble Burning,MODERATE,13.53,367.0,FAC-007,Bhilai Steel Complex,industrial,1485.823,LOW,LOW,CL-0011,2,1.0,CL-0011 (2 hotspots),h,
7.9272,81.20104,Agricultural / Stubble Burning,MODERATE,9.78,343.9,FAC-007,Bhilai Steel Complex,industrial,1474.883,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.95415,80.10401,Agricultural / Stubble Burning,MODERATE,6.79,335.43,FAC-007,Bhilai Steel Complex,industrial,1478.12,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.95961,81.19024,Agricultural / Stubble Burning,MODERATE,4.8,332.3,FAC-007,Bhilai Steel Complex,industrial,1471.295,LOW,LOW,CL-0012,5,1.0,CL-0012 (5 hotspots),l,
7.96052,81.19545,Agricultural / Stubble Burning,MODERATE,4.8,331.99,FAC-007,Bhilai Steel Complex,industrial,1471.186,LOW,LOW,CL-0012,5,1.0,CL-0012 (5 hotspots),l,
7.96143,81.2007,Agricultural / Stubble Burning,MODERATE,2.71,332.0,FAC-007,Bhilai Steel Complex,industrial,1471.078,LOW,LOW,CL-0012,5,1.0,CL-0012 (5 hotspots),n,
7.96473,80.04477,Agricultural / Stubble Burning,MODERATE,3.02,334.68,FAC-007,Bhilai Steel Complex,industrial,1477.551,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
7.96528,81.19466,Agricultural / Stubble Burning,MODERATE,4.8,330.75,FAC-007,Bhilai Steel Complex,industrial,1470.658,LOW,LOW,CL-0012,5,1.0,CL-0012 (5 hotspots),l,
7.96914,81.18865,Agricultural / Stubble Burning,MODERATE,5.15,333.18,FAC-007,Bhilai Steel Complex,industrial,1470.238,LOW,LOW,CL-0012,5,1.0,CL-0012 (5 hotspots),n,
7.9765,80.17004,Agricultural / Stubble Burning,MODERATE,6.16,355.35,FAC-007,Bhilai Steel Complex,industrial,1475.004,LOW,LOW,NOISE,1,1.0,NOISE (1 hotspot),n,
8.00678,80.95213,Agricultural / Stubble Burning,MODERATE,4.32,332.53,FAC-007,Bhilai Steel Complex,industrial,1466.628,LOW,LOW,CL-0013,2,1.0,CL-0013 (2 hotspots),n,
