latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
27.80422,96.25511,335.35,0.54,0.68,2026-09-11,550,N21,VIIRS,n,2.0NRT,290.41,5.56,D
28.04317,96.47542,330.4,0.52,0.67,2026-09-11,550,N21,VIIRS,n,2.0NRT,289.79,4.29,D
6.23675,80.86526,334.31,0.33,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.17,4.12,D
6.33034,80.99194,351.23,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.49,4.99,D
6.35857,80.94335,340.79,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.35,3.97,D
6.42279,81.28326,336.83,0.61,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.09,9.28,D
6.53911,80.9467,331.79,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.72,2.0,D
6.67181,81.1211,330.05,0.62,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.65,6.5,D
6.70483,81.3157,344.06,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,304.49,17.86,D
6.70966,81.31493,350.75,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,301.99,9.5,D
6.71541,81.3196,332.8,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,302.49,9.5,D
6.74071,81.49876,344.26,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,306.82,9.91,D
6.75242,81.36433,343.11,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,304.08,8.71,D
6.75315,81.36772,345.31,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,304.12,15.74,D
6.75334,81.36961,339.08,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,302.15,8.71,D
6.76568,81.38377,330.37,0.59,0.53,2026-09-11,726,N21,VIIRS,l,2.0NRT,302.43,3.62,D
6.78033,81.56044,333.59,0.58,0.52,2026-09-11,726,N21,VIIRS,l,2.0NRT,304.08,4.9,D
6.78106,81.55669,336.12,0.57,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,304.0,4.65,D
6.8919,81.63732,341.36,0.57,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,303.3,6.6,D
6.89411,81.63881,341.13,0.56,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,302.64,3.22,D
6.95228,81.63975,341.12,0.56,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,304.17,6.6,D
7.04393,81.3398,339.54,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.12,9.34,D
7.06148,81.55836,339.75,0.57,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,301.96,3.81,D
7.29534,80.90753,332.06,0.63,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.48,9.43,D
